时间戳记,ID,duration,n_correct_answers,gender,hour_sleep,user_answer
2024-3-4 下午03:00:27,BZBZ,149.61,9,m,,
2024-3-4 下午02:22:42,ajda,160.67,11,f,,
2024-3-11 下午07:20:32,FSSR,25.08,12,f,07-Sep,"a, a, b, b, b, b, b, a, a, a, a, a, a, b, b, b, a, a, a, a, a, a, a, a, b, b, b, b, b"
2024-3-8 下午04:23:55,HHMM,186.64,13,m,<7,
2024-3-9 下午08:13:45,zxcv,162.88,13,m,07-Sep,
2024-3-9 下午10:17:23,AAAA,167.69,14,m,<7,
2024-2-26 下午04:27:38,WZSB,204.76,15,f,,
2024-3-4 下午02:36:16,TSHE,177.52,15,f,,
2024-3-7 下午01:42:25,LITS,294.35,16,f,07-Sep,
2024-3-8 下午04:47:06,1145,348.37,16,f,07-Sep,
2024-3-4 下午02:28:13,AMMK,187.26,17,f,,
2024-3-9 下午08:37:23,clcm,217.43,17,non-binary,<7,
2024-3-4 下午02:42:22,dllm,248.03,18,f,,
2024-3-4 下午02:47:40,efr,180.61,18,f,,
2024-3-7 下午01:47:48,Harper,226.08,18,f,<7,
2024-3-7 下午04:04:39,HYZY,199.48,18,m,07-Sep,
2024-3-8 下午07:08:21,JEFF,203.54,18,m,07-Sep,
2024-3-10 下午08:46:13,JFTC,353.64,18,m,07-Sep,
2024-3-4 下午02:52:09,ludg,190.87,19,f,,
2024-3-7 下午05:10:25,NOBH,224.61,19,m,07-Sep,
2024-3-8 下午12:29:15,Toby,193.3,19,f,07-Sep,
2024-3-8 下午06:12:14,xoxo,214.67,19,m,<7,
2024-3-9 下午09:42:35,YH,316.35,19,f,07-Sep,
2024-2-26 下午04:09:53,YLTR,236.15,20,f,,
2024-3-7 下午04:24:24,ynbt,225.99,20,m,<7,
2024-3-8 上午11:58:46,test,302.23,20,m,<7,
2024-3-8 下午12:54:17,LNAH,272.67,20,f,07-Sep,
2024-3-8 下午06:47:36,jiij,194.74,20,m,07-Sep,
2024-2-26 下午04:18:29,uiop,351.6,21,m,,
2024-3-7 下午05:24:02,717,198.75,21,m,<7,
2024-3-8 下午12:39:41,900,166.89,21,m,<7,
2024-3-9 下午08:09:09,GPDK,208.15,21,m,07-Sep,
2024-3-7 下午01:35:49,jtaa,234.23,22,m,<7,
2024-3-7 下午02:21:41,ZZLX,218.96,22,m,<7,
2024-3-8 下午06:39:02,GG99,340.83,22,f,07-Sep,
2024-3-4 下午02:56:30,AYCS,190.31,23,f,,
2024-3-7 下午09:53:19,AWEE,332.22,24,f,07-Sep,
03/07/2024 21:53,DTVJ,332.22,24,f,07-Sep,
,CBGB,301.23,24,m,,
